,Score,Comments,Sentiment,Sentiment_Polarity,AAPL_Mentions,TSLA_Mentions,GME_Mentions,AMC_Mentions,NVDA_Mentions,SPCE_Mentions,PLTR_Mentions,LCID_Mentions,SOFI_Mentions,AMD_Mentions,PTON_Mentions,TLRY_Mentions,IRNTQ_Mentions,Open,High,Low,Close,Adj Close,Volume
Score,1.0,0.6292888936838164,0.16829837875690795,0.16829837875690795,,,,,-0.03368758612275879,,,,,,,,,-0.02621894111819861,-0.025156115018418176,-0.027378598178748884,-0.026582092858985596,-0.026724556786642147,0.019974386094342645
Comments,0.6292888936838164,1.0,0.035148692558655485,0.035148692558655485,,,,,0.001408431422105041,,,,,,,,,-0.0038414468760234583,-0.0027976381757241074,-0.005123668714491029,-0.00461420202317869,-0.004605570825858215,0.01250746185085883
Sentiment,0.16829837875690795,0.035148692558655485,1.0,1.0,,,,,0.012917026863148167,,,,,,,,,0.019703082239576168,0.01935054890303626,0.020613128293577917,0.020629574804171432,0.020793126509909395,0.019828872483011635
Sentiment_Polarity,0.16829837875690795,0.035148692558655485,1.0,1.0,,,,,0.012917026863148167,,,,,,,,,0.019703082239576168,0.01935054890303626,0.020613128293577917,0.020629574804171432,0.020793126509909395,0.019828872483011635
AAPL_Mentions,,,,,,,,,,,,,,,,,,,,,,,
TSLA_Mentions,,,,,,,,,,,,,,,,,,,,,,,
GME_Mentions,,,,,,,,,,,,,,,,,,,,,,,
AMC_Mentions,,,,,,,,,,,,,,,,,,,,,,,
NVDA_Mentions,-0.03368758612275879,0.001408431422105041,0.012917026863148167,0.012917026863148167,,,,,1.0,,,,,,,,,0.005279677385963786,0.005030659305855847,0.006038533772524271,0.005503895873063016,0.00556505802814357,0.007232351756856805
SPCE_Mentions,,,,,,,,,,,,,,,,,,,,,,,
PLTR_Mentions,,,,,,,,,,,,,,,,,,,,,,,
LCID_Mentions,,,,,,,,,,,,,,,,,,,,,,,
SOFI_Mentions,,,,,,,,,,,,,,,,,,,,,,,
AMD_Mentions,,,,,,,,,,,,,,,,,,,,,,,
PTON_Mentions,,,,,,,,,,,,,,,,,,,,,,,
TLRY_Mentions,,,,,,,,,,,,,,,,,,,,,,,
IRNTQ_Mentions,,,,,,,,,,,,,,,,,,,,,,,
Open,-0.02621894111819861,-0.0038414468760234583,0.019703082239576168,0.019703082239576168,,,,,0.005279677385963786,,,,,,,,,1.0,0.9996285977263732,0.9997058516753636,0.9993276062632974,0.9993246228578205,0.042033698021053834
High,-0.025156115018418176,-0.0027976381757241074,0.01935054890303626,0.01935054890303626,,,,,0.005030659305855847,,,,,,,,,0.9996285977263732,1.0,0.9995128100986697,0.9996902711680496,0.9997107358486461,0.04443230562694141
Low,-0.027378598178748884,-0.005123668714491029,0.020613128293577917,0.020613128293577917,,,,,0.006038533772524271,,,,,,,,,0.9997058516753636,0.9995128100986697,1.0,0.9996835756450014,0.9996485067808263,0.0408941446762845
Close,-0.026582092858985596,-0.00461420202317869,0.020629574804171432,0.020629574804171432,,,,,0.005503895873063016,,,,,,,,,0.9993276062632974,0.9996902711680496,0.9996835756450014,1.0,0.9999916445008666,0.04332947081297036
Adj Close,-0.026724556786642147,-0.004605570825858215,0.020793126509909395,0.020793126509909395,,,,,0.00556505802814357,,,,,,,,,0.9993246228578205,0.9997107358486461,0.9996485067808263,0.9999916445008666,1.0,0.0437533191336344
Volume,0.019974386094342645,0.01250746185085883,0.019828872483011635,0.019828872483011635,,,,,0.007232351756856805,,,,,,,,,0.042033698021053834,0.04443230562694141,0.0408941446762845,0.04332947081297036,0.0437533191336344,1.0
